id;bairro;cep
1010;JARDIM CARUMBE;02855280
1013;JARDIM CARUMBE;02855107
1014;JARDIM CARUMBE;02837195
1015;VILA TERESINHA;02853000
1016;VILA TERESINHA;02853010
1017;VILA TERESINHA;02853020
1018;VILA TERESINHA;02853030
1019;VILA TERESINHA;02853040
1020;VILA TERESINHA;02853050
1021;VILA TERESINHA;02853060
1022;VILA TERESINHA;02853080
1023;VILA TERESINHA;02854000
1024;VILA TERESINHA;02854010
1025;VILA TERESINHA;02854020
1026;VILA TERESINHA;02854030
1027;VILA TERESINHA;02854040
1028;VILA TERESINHA;02854050
1029;VILA TERESINHA;02854060
1030;VILA TERESINHA;02854050
1031;VILA TERESINHA;02854060
1032;VILA TERESINHA;02854070
1033;VILA TERESINHA;02854080
1034;ITAGUACU;02680080
1035;ITAGUACU;02680070
1036;ITAGUACU;02680021
1037;ITAGUACU;04642090
1038;ITAGUACU;02680031
1039;JARDIM LIDER;02983055
1040;JARDIM LIDER;02983130
1041;JARDIM LIDER;02986120
1042;JARDIM LIDER;02983100
1043;JARDIM LIDER;02983090
1044;JARDIM LIDER;02883110
1045;COHAB BRASILANDIA;02820070
1047;COHAB BRASILANDIA;02813100
1048;COHAB BRASILANDIA;02820040
1049;COHAB BRASILANDIA;02820020
1050;COHAB BRASILANDIA;02820090
1051;COHAB BRASILANDIA;02820100
1052;VILA SIQUEIRA;02817080
1053;VILA SIQUEIRA;02817000
1054;VILA SIQUEIRA;02817010
1055;VILA SIQUEIRA;02816010
1056;VILA SIQUEIRA;02817060
1057;VILA SIQUEIRA;02817050
1058;VILA SIQUEIRA;02816011
1059;VILA SIQUEIRA;02817071
1060;VILA SIQUEIRA;02817075
1061;VILA SIQUEIRA;02817073
1062;JARIDM GUARANI;02849020
1063;JARIDM GUARANI;02844070
1064;JARIDM GUARANI;02844080
1065;JARIDM GUARANI;02844090
1066;JARIDM GUARANI;02844100
1067;JARIDM GUARANI;02844110
1068;JARIDM GUARANI;02844120
1069;JARIDM GUARANI;02845000
1070;JARIDM GUARANI;02845010
1071;JARIDM GUARANI;02845020
1072;JARIDM GUARANI;02845030
1073;JARIDM GUARANI;02845040
1074;JARIDM GUARANI;02845050
1075;JARIDM GUARANI;02845060
1076;JARIDM GUARANI;02845070
1077;JARIDM GUARANI;02845080
1078;JARIDM GUARANI;02845090
1079;JARIDM GUARANI;02845100
1080;JARIDM GUARANI;02845110
1081;JARIDM GUARANI;02845120
1082;JARIDM GUARANI;02845140
1083;JARIDM GUARANI;02845150
1084;JARIDM GUARANI;02845160
1085;JARIDM GUARANI;02846010
1086;JARIDM GUARANI;02846020
1087;JARIDM GUARANI;02846030
1088;JARIDM GUARANI;02846040
1089;JARIDM GUARANI;02846050
1090;JARIDM GUARANI;02846060
1091;JARIDM GUARANI;02846070
1092;JARIDM GUARANI;02846090
1093;JARIDM GUARANI;02846100
1094;JARIDM GUARANI;02847001
1095;JARIDM GUARANI;02847010
1096;JARIDM GUARANI;02847020
1097;JARIDM GUARANI;02847040
1098;JARIDM GUARANI;02847060
1099;JARIDM GUARANI;02847070
1100;JARIDM GUARANI;02847080
1101;JARIDM GUARANI;02847085
1102;JARIDM GUARANI;02847086
1103;JARIDM GUARANI;02847087
1104;JARIDM GUARANI;02847090
1105;JARIDM GUARANI;02847100
1106;JARIDM GUARANI;02848000
1107;JARIDM GUARANI;02848010
1108;JARIDM GUARANI;02848020
1109;JARIDM GUARANI;02848030
1110;JARIDM GUARANI;02848040
1111;JARIDM GUARANI;02848050
1112;JARIDM GUARANI;02848060
1113;JARIDM GUARANI;02848070
1114;JARIDM GUARANI;02848080
1115;JARIDM GUARANI;02848130
1116;JARIDM GUARANI;02849000
1117;JARIDM GUARANI;02849010
1118;JARIDM GUARANI;02849020
1119;JARIDM GUARANI;02849030
1120;JARIDM GUARANI;02849040
1121;JARIDM GUARANI;02849050
1122;JARIDM GUARANI;02849060
1123;JARIDM GUARANI;02849070
1124;JARIDM GUARANI;02849080
1125;JARIDM GUARANI;02849090
1126;JARIDM GUARANI;02849100
1127;JARIDM GUARANI;02849110
1128;JARIDM GUARANI;02849120
1129;JARIDM GUARANI;02849130
1130;JARIDM GUARANI;02849140
1131;JARIDM GUARANI;02849150
1132;JARIDM GUARANI;02849170
1133;JARIDM GUARANI;02849180
1134;JARIDM GUARANI;02849190
1135;JARIDM GUARANI;02849200
1136;JARIDM GUARANI;02851000
1137;JARIDM GUARANI;02851010
1138;JARIDM GUARANI;02851020
1139;JARIDM GUARANI;02851030
1140;JARIDM GUARANI;02851040
1141;JARIDM GUARANI;02851050
1142;JARIDM GUARANI;02851060
1143;JARIDM GUARANI;02851070
1144;JARIDM GUARANI;02851080
1145;JARIDM GUARANI;02851090
1146;JARIDM GUARANI;02851100
1147;JARIDM GUARANI;02851110
1148;JARIDM GUARANI;02851130
1149;JARIDM GUARANI;02850100
1150;JARIDM GUARANI;02855180
1151;VILA JOAO BATISTA;02837220
1152;VILA JOAO BATISTA;02837230
1153;VILA JOAO BATISTA;02837000
1154;VILA JOAO BATISTA;02837010
1155;VILA JOAO BATISTA;02837020
1156;VILA JOAO BATISTA;02837040
1157;VILA JOAO BATISTA;02837050
1158;VILA JOAO BATISTA;02837060
1159;VILA JOAO BATISTA;02837070
1160;VILA JOAO BATISTA;02837080
1161;VILA JOAO BATISTA;02837090
1162;VILA JOAO BATISTA;02837100
1163;VILA JOAO BATISTA;02837110
1164;VILA JOAO BATISTA;02837120
1165;VILA JOAO BATISTA;02837130
1166;VILA JOAO BATISTA;02846000
1167;VILA JOAO BATISTA;02846030
1168;VILA JOAO BATISTA;02846040
1169;VILA JOAO BATISTA;02846090
1170;VILA JOAO BATISTA;02846100
1171;VILA JOAO BATISTA;02846110
1172;VILA JOAO BATISTA;02846120
1173;VILA JOAO BATISTA;02846130
1174;VILA JOAO BATISTA;02846140
1175;VILA JOAO BATISTA;02846150
1176;VILA JOAO BATISTA;02846170
1177;VILA JOAO BATISTA;02837200
1178;VILA JOAO BATISTA;02846230
1179;VILA JOAO BATISTA;02846260
1180;JARDIM ONDINA;02870020
